Title;Author;Publisher;ReadSituation;Owner
Ýstanbul Tarihi Araþtýrmalarý;Halil Ýnalcýk;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Rönesans Avrupasý;Halil Ýnalcýk;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Kötülüðün Sýradanlýðý;Hannah Arendt;Metis Yayýnlarý;To-Read;Ege Balçýk
"Bekaretin ""El Deðmemiþ"" Tarihi";Hanne Blank;Ýletiþim;To-Read;Ege Balçýk
Talat Paþa;Hans-Lukas Kiezer;Ýletiþim ;To-Read;Ege Balçýk
Bülbülü Öldürmek;Harper Lee;Sel Yayýncýlýk;To-Read;Ege Balçýk
Bülbülü Öldürmek;Harper Lee;Sel Yayýncýlýk;To-Read;Ege Balçýk
Gölgesizler;Hasan Ali Toptaþ;Everest;To-Read;Ege Balçýk
Bir Kadýný Öldürmeye Nereden Baþlamalý?;Hatice Meryem;Ýletiþim;Read;Ege Balçýk
Gündelik Hayatýn Eleþtirisi 1;Henri Lefebvre;Sel Yayýncýlýk;To-Read;Ege Balçýk
Yürek Burgusu;Henry James;Ýthaki;Read;Ege Balçýk
The Turn Of The Screw;Henry James;MK Publications;Read;Ege Balçýk
Moby Dick;Herman Melville;YKY;Read;Ege Balçýk
Narziss ve Goldmund;Hermann Hesse;YKY;Read;Ege Balçýk
Körburun;Hikmet Hükümenoðlu;Can Yayýnlarý;To-Read;Ege Balçýk
Ýlyada;Homeros;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Odysseia;Homeros;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Vadideki Zambak;Honore De Balzac;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Otranto Þatosu;Horace Walpole;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Kuyruklu Yýldýz Altýnda Bir Evlenme;Hüseyin Rahmi Gürpýnar;Özgür;Read;Ege Balçýk
Annem ve Hayatýn Anlamý;Irvin Yalom;Kabalcý;To-Read;Ege Balçýk
Ölüm Korkusunu Yenmek;Irvin Yalom;Kabalcý;Read;Ege Balçýk
Gökteki Çakýl Taþý;Isaac Asimov;Ýthaki;To-Read;Ege Balçýk
